January 2026 NDC - HCPCS  Crosswalk for Medicare Part B Drugs,,,,,,,,,
"Effective January 1, 2026 through March 31, 2026",,,,,,,,,
,,,,,,,,,
The ASP crosswalks are maintained by the Division of Data Analysis and Market Based Pricing to support ASP-based Medicare Part B payments only. The crosswalks are intended to help the public (including entities that submit manufacturer ASP data and providers who bill for drugs) understand which drug products (identified by NDCs) are assigned to which HCPCS billing codes. The crosswalks are not intended to be a comprehensive list of all drugs/NDCs available in the United States. The NDC to HCPCS Crosswalk also includes information on the NDC package size and the number of billable units (as defined by the HCPCS code descriptor). Comments on the file may be sent to sec303aspdata@cms.hhs.gov.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
HCPCS Code,Short Descriptor,LABELER NAME,NDC,DRUG NAME,HCPCS DOSAGE,PKG SIZE,PKG QTY,BILLUNITS,BILLUNITSPKG
P9047,"Albumin (human), 25%, 50ml",Grifols,68516-5216-01,Albutein,50 ML,50,1,1,1
P9047,"Albumin (human), 25%, 50ml",Grifols,68516-5216-02,Albutein,50 ML,100,1,2,2
P9047,"Albumin (human), 25%, 50ml",Octapharma USA,68982-0643-01,Albumin (Human),50 ML,50,1,1,1
P9047,"Albumin (human), 25%, 50ml",Octapharma USA,68982-0643-02,Albumin (Human),50 ML,100,1,2,2
P9047,"Albumin (human), 25%, 50ml",Kedrion Biopharma,76125-0784-10,Albuked 25,50 ML,100,1,2,2
P9047,"Albumin (human), 25%, 50ml",Kedrion Biopharma,76125-0784-25,Albuked 25,50 ML,50,1,1,1
P9047,"Albumin (human), 25%, 50ml",Kedrion Biopharma,76179-0025-01,Kedbumin,50 ML,50,1,1,1
P9047,"Albumin (human), 25%, 50ml",Kedrion Biopharma,76179-0025-02,Kedbumin,50 ML,50,1,1,1
P9047,"Albumin (human), 25%, 50ml",Kedrion Biopharma,76179-0025-04,Kedbumin,50 ML,100,1,2,2
P9047,"Albumin (human), 25%, 50ml","Takeda Pharmaceuticals America, Inc.",00944-0493-03,Flexbumin,50 ML,50,1,1,1
P9047,"Albumin (human), 25%, 50ml",Grifols,68516-5216-09,Albutein,50 ML,50,5,1,5
P9047,"Albumin (human), 25%, 50ml",Grifols,68516-5216-00,Albutein,50 ML,100,5,2,10
Q0224,Pemivibart injection ,"Invivyd, Inc",81960-0031-03,Pemgarda,4500 MG,1,1,1,1
Q0237,"Injection, tocilizumab-anoh","Celltrion USA, Inc.",72606-0042-02,Avtozma,1 MG,4,4,80,320
Q0237,"Injection, tocilizumab-anoh","Celltrion USA, Inc.",72606-0043-02,Avtozma,1 MG,10,4,200,800
Q0237,"Injection, tocilizumab-anoh","Celltrion USA, Inc.",72606-0044-02,Avtozma,1 MG,20,4,400,1600
Q0249,Tocilizumab for covid-19,"Genentech, Inc",50242-0135-01,Actemra IV,1 MG,4,1,80,80
Q0249,Tocilizumab for covid-19,"Genentech, Inc",50242-0136-01,Actemra IV,1 MG,10,1,200,200
Q0249,Tocilizumab for covid-19,"Genentech, Inc",50242-0137-01,Actemra IV,1 MG,20,1,400,400
