January 2026 OPPS NDC - HCPCS Crosswalk for Medicare Part B Drugs,,,,,,,,,
"     Effective January 1, 2026 through March 1, 2026",,,,,,,,,
,,,,,,,,,
The ASP crosswalks are maintained by the Division of Data Analysis and Market Based Pricing to support ASP-based Medicare Part B payments only. The crosswalks are intended to help the public (including entities that submit manufacturer ASP data and providers who bill for drugs) understand which drug products (identified by NDCs) are assigned to which HCPCS billing codes. The crosswalks are not intended to be a comprehensive list of all drugs/NDCs available in the United States. The NDC to HCPCS Crosswalk also includes information on the NDC package size and the number of billable units (as defined by the HCPCS code descriptor). Comments on the file may be sent to sec303aspdata@cms.hhs.gov.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
_2026_CODE,Short Descriptor,LABELER NAME,NDC or ALTERNATE ID,Drug Name,HCPCS Dosage,PKG SIZE,PKG QTY,BILLUNITS,BILLUNITSPKG
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0553-62,Elevidys,Per Therapeutic Dose,1,62,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0554-63,Elevidys,Per Therapeutic Dose,1,63,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0555-64,Elevidys,Per Therapeutic Dose,1,64,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0556-65,Elevidys,Per Therapeutic Dose,1,65,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0557-66,Elevidys,Per Therapeutic Dose,1,66,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0558-67,Elevidys,Per Therapeutic Dose,1,67,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0559-68,Elevidys,Per Therapeutic Dose,1,68,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0560-69,Elevidys,Per Therapeutic Dose,1,69,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0561-70,Elevidys,Per Therapeutic Dose,1,70,1,1
J1426,"Injection, casimersen, 10 mg","Sarepta Therapeutics, Inc.",60923-0227-02,Amondys 45,10 MG,2,1,10,10
J1428,"Injection, eteplirsen","Sarepta Therapeutics, Inc.",60923-0284-10,Exondys 51,10 MG,10,1,50,50
J1428,"Injection, eteplirsen","Sarepta Therapeutics, Inc.",60923-0363-02,Exondys 51,10 MG,2,1,10,10
J1451,"Fomepizole, 15 mg","American Regent, Inc.",00517-0710-01,Fomepizole,15 MG,1.5,1,100,100
J1451,"Fomepizole, 15 mg",Sagent Pharmaceuticals,25021-0829-02,Fomepizole,15 MG,1.5,1,100,100
J1451,"Fomepizole, 15 mg",Mylan Institutional LLC,67457-0211-02,Fomepizole,15 MG,1.5,1,100,100
J1451,"Fomepizole, 15 mg",Zydus Pharmaceuticals (USA) Inc.,70710-1478-01,Fomepizole,15 MG,1.5,1,100,100
J1612,Inj glucagon (gvoke) 0.01 mg,"American Regent, Inc.",00517-2901-01,Gvoke Vialdx,0.01 MG,0.2,1,100,100
J1612,Inj glucagon (gvoke) 0.01 mg,"American Regent, Inc.",00517-2901-10,Gvoke Vialdx,0.01 MG,0.2,10,100,1000
J1737,Inj meloxicam (azurity) 1mg,Azurity Pharmaceuticals Inc.,24338-0153-02,Xifyrm,1 MG,1,10,30,300
J1742,Ibutilide fumarate injection,Pfizer Inc,00009-3794-01,Corvert,1 MG,10,1,1,1
J1742,Ibutilide fumarate injection,Pfizer Inc,00009-3794-22,Corvert,1 MG,10,1,1,1
J1742,Ibutilide fumarate injection,Heritage Pharmaceuticals Inc.,23155-0326-31,Ibutilide Fumarate,1 MG,10,1,1,1
J1742,Ibutilide fumarate injection,Mylan Institutional LLC,67457-0366-10,Ibutilide Fumarate,1 MG,10,1,1,1
J1807,"Inj, ethacrynate sod, 1 mg","Endo USA, Inc.",42023-0157-01,Ethacrynate Sodium,1 MG,1,1,50,50
J1833,"Inj, isavuconazonium sulfate","Astellas Pharma US, Inc.",00469-0420-01,Cresemba,1 MG,1,1,372,372
J1834,"Inj, isoniazid, 1 mg",Sandoz Inc.,00781-3056-70,Isoniazid Injection,1 MG,10,1,1000,1000
J2186,"Inj., meropenem, vaborbactam","Melinta Therapeutics, LLC",70842-0120-06,Vabomere ,(10 MG/10MG) 20 MG,1,6,100,600
J2265,Minocycline hydrochloride,"Melinta Therapeutics, LLC",70842-0160-10,Minocin,1 MG ,1,10,100,1000
J2326,"Injection, nusinersen",Biogen Inc.,64406-0058-01,Spinraza,0.1 MG,5,1,120,120
J2515,Pentobarbital sodium inj,Hikma Pharmaceuticals USA Inc.,24201-0010-20,Pentobarbital,50 MG,20,1,20,20
J2515,Pentobarbital sodium inj,Hikma Pharmaceuticals USA Inc.,24201-0010-50,Pentobarbital,50 MG,50,1,50,50
J2515,Pentobarbital sodium inj,Sagent Pharmaceuticals,25021-0676-20,Pentobarbital,50 MG,20,1,20,20
J2515,Pentobarbital sodium inj,Sagent Pharmaceuticals,25021-0676-50,Pentobarbital,50 MG,50,1,50,50
J2547,"Injection, peramivir","BioCryst Pharmaceuticals, Inc.",72769-0181-03,Rapivab,1 MG,20,3,200,600
J2561,"Inj, sezaby, 1 mg","Sun Pharmaceutical Industries, Inc.",62756-0301-01,Sezaby,1 MG,1,1,100,100
J2801,"Inj, rykindo, 0.5 mg",Luye Pharma USA Ltd,72526-0101-11,Rykindo,0.5 MG,1,1,25,25
J2801,"Inj, rykindo, 0.5 mg",Luye Pharma USA Ltd,72526-0102-11,Rykindo,0.5 MG,1,1,50,50
J2801,"Inj, rykindo, 0.5 mg",Luye Pharma USA Ltd,72526-0103-11,Rykindo,0.5 MG,1,1,75,75
J2801,"Inj, rykindo, 0.5 mg",Luye Pharma USA Ltd,72526-0104-11,Rykindo,0.5 MG,1,1,100,100
J2840,"Injection, sebelipase alfa","Alexion Pharmaceuticals, Inc.",25682-0007-01,Kanuma,1 MG,10,1,20,20
J2850,Inj secretin synthetic human,"ChiRhoClin, Inc",67066-0005-01,Chirhostim,1 MCG,1,1,16,16
J2998,Inj plasminogen tvmh 1mg,Kedrion Biopharma Inc,70573-0099-02,Ryplazim,1 MG,1,1,68.8,69
J3387,Inj elivaldogene autotemcel,"Bluebird Bio, Inc.",73554-2111-01,Skysona,Per Therapeutic Dose,20,1,1,1
J3389,Topi adm prad zami per treat,Abeona Therapeutics Inc.,84103-0007-01,Zevaskyn,Per Therapeutic Dose,1,1,1,1
J3391,"Inj, atidarsagene autotemcel",Orchard Therapeutics Europe Limited,83222-0200-01,Lenmeldy,Per Treatment Dose,1,1,1,1
J3392,"Inj, exagamglogene autotem","Vertex Pharmaceuticals, Inc.",51167-0290-09,Casgevy,Per Treatment ,1,1,1,1
J3393,"Inj, betibeglogene autotemce","Bluebird Bio, Inc.",73554-3111-01,Zynteglo,Per Therapeutic Dose,20,1,1,1
J3394,"Inj, lovotibeglogene autotem","Bluebird Bio, Inc.",73554-1111-01,Lyfgenia,Per Treatment ,20,1,1,1
J3397,"Inj., vestronidase alfa-vjbk",Ultragenyx Pharmaceutical Inc.,69794-0001-01,Mepsevii,1 MG,5,1,10,10
J3398,Inj luxturna 1 billion vec g,"Spark Therapeutics, Inc.",71394-0415-01,Luxturna,1 billion vector genomes,0.5,1,150,150
J3399,Inj onase abepar-xioi treat,"Novartis Gene Therapies, Inc.",71894-0120-02,Zolgensma ,Per tx dose (up to 5 x10^15 vg?),16.6,1,1,1
J3399,Inj onase abepar-xioi treat,"Novartis Gene Therapies, Inc.",71894-0121-03,Zolgensma ,Per tx dose (up to 5 x10^15 vg?),19.3,1,1,1
J3399,Inj onase abepar-xioi treat,"Novartis Gene Therapies, Inc.",71894-0122-03,Zolgensma ,Per tx dose (up to 5 x10^15 vg?),22.1,1,1,1
J3399,Inj onase abepar-xioi treat,"Novartis Gene Therapies, Inc.",71894-0123-03,Zolgensma ,Per tx dose (up to 5 x10^15 vg?),24.9,1,1,1
J3399,Inj onase abepar-xioi treat,"Novartis Gene Therapies, Inc.",71894-0124-04,Zolgensma ,Per tx dose (up to 5 x10^15 vg?),27.6,1,1,1
J3399,Inj onase abepar-xioi treat,"Novartis Gene Therapies, Inc.",71894-0125-04,Zolgensma ,Per tx dose (up to 5 x10^15 vg?),30.4,1,1,1
J3399,Inj onase abepar-xioi treat,"Novartis Gene Therapies, Inc.",71894-0126-04,Zolgensma ,Per tx dose (up to 5 x10^15 vg?),33.2,1,1,1
J3399,Inj onase abepar-xioi treat,"Novartis Gene Therapies, Inc.",71894-0127-05,Zolgensma ,Per tx dose (up to 5 x10^15 vg?),35.9,1,1,1
J3399,Inj onase abepar-xioi treat,"Novartis Gene Therapies, Inc.",71894-0128-05,Zolgensma ,Per tx dose (up to 5 x10^15 vg?),38.7,1,1,1
J3399,Inj onase abepar-xioi treat,"Novartis Gene Therapies, Inc.",71894-0129-05,Zolgensma ,Per tx dose (up to 5 x10^15 vg?),41.5,1,1,1
J3399,Inj onase abepar-xioi treat,"Novartis Gene Therapies, Inc.",71894-0130-06,Zolgensma ,Per tx dose (up to 5 x10^15 vg?),44.2,1,1,1
J3399,Inj onase abepar-xioi treat,"Novartis Gene Therapies, Inc.",71894-0131-06,Zolgensma ,Per tx dose (up to 5 x10^15 vg?),47,1,1,1
J3399,Inj onase abepar-xioi treat,"Novartis Gene Therapies, Inc.",71894-0132-06,Zolgensma ,Per tx dose (up to 5 x10^15 vg?),49.8,1,1,1
J3399,Inj onase abepar-xioi treat,"Novartis Gene Therapies, Inc.",71894-0133-07,Zolgensma ,Per tx dose (up to 5 x10^15 vg?),52.5,1,1,1
J3399,Inj onase abepar-xioi treat,"Novartis Gene Therapies, Inc.",71894-0134-07,Zolgensma ,Per tx dose (up to 5 x10^15 vg?),55.3,1,1,1
J3399,Inj onase abepar-xioi treat,"Novartis Gene Therapies, Inc.",71894-0135-07,Zolgensma ,Per tx dose (up to 5 x10^15 vg?),58.1,1,1,1
J3399,Inj onase abepar-xioi treat,"Novartis Gene Therapies, Inc.",71894-0136-08,Zolgensma ,Per tx dose (up to 5 x10^15 vg?),60.8,1,1,1
J3399,Inj onase abepar-xioi treat,"Novartis Gene Therapies, Inc.",71894-0137-08,Zolgensma ,Per tx dose (up to 5 x10^15 vg?),63.6,1,1,1
J3399,Inj onase abepar-xioi treat,"Novartis Gene Therapies, Inc.",71894-0138-08,Zolgensma ,Per tx dose (up to 5 x10^15 vg?),66.4,1,1,1
J3399,Inj onase abepar-xioi treat,"Novartis Gene Therapies, Inc.",71894-0139-09,Zolgensma ,Per tx dose (up to 5 x10^15 vg?),69.1,1,1,1
J3399,Inj onase abepar-xioi treat,"Novartis Gene Therapies, Inc.",71894-0140-09,Zolgensma ,Per tx dose (up to 5 x10^15 vg?),71.9,1,1,1
J3399,Inj onase abepar-xioi treat,"Novartis Gene Therapies, Inc.",71894-0141-09,Zolgensma ,Per tx dose (up to 5 x10^15 vg?),74.7,1,1,1
J3424,Inj hydroxocobalamin iv 25mg,Meridian Medical Technologies LLC,11704-0370-01,Cyanokit,25 MG,1,1,200,200
J3424,Inj hydroxocobalamin iv 25mg,BTG International Inc.,50633-0310-11,Cyanokit,25 MG,1,1,200,200
J7165,"Inj, human-lans, per i.u",Octapharma USA Inc.,68982-0261-01,Balfaxar,PER FACTOR IX IU,1,1,1,1
J7165,"Inj, human-lans, per i.u",Octapharma USA Inc.,68982-0261-02,Balfaxar,PER FACTOR IX IU,1,1,1,1
J7168,Prothrombin complex kcentra,CSL Behring L.L.C.,63833-0386-02,Kcentra,1 IU,1,1,1,1
J7168,Prothrombin complex kcentra,CSL Behring L.L.C.,63833-0387-02,Kcentra,1 IU,1,1,1,1
J7169,"Inj andexxa, 10 mg",AstraZeneca Pharmaceuticals LP,00310-3200-04,Andexxa,10 MG,1,4,20,80
J7169,"Inj andexxa, 10 mg",AstraZeneca Pharmaceuticals LP,00310-3200-05,Andexxa,10 MG,1,5,20,100
J7169,"Inj andexxa, 10 mg",AstraZeneca Pharmaceuticals LP,69853-0102-01,Andexxa,10 MG,1,4,20,80
J7352,"Afamelanotide implant, 1 mg",Clinuvel Inc.,73372-0116-01,Scenesse,1 MG,1,1,16,16
J7353,Anacaulase-bcdb 8.8% gel 1 g,Vericel Corporation,69866-2005-03,NexoBrid,1 GM (OF 8.8% GEL),1,1,55,55
J7501,Azathioprine parenteral,Hikma Pharmaceuticals USA Inc.,00143-9566-01,Azathioprine,100 MG,1,1,1,1
J9184,Inj gemcitabin (avyxa) 200mg,"Avyxa Pharma, LLC",83831-0122-01,Avgesmi,200 MG,5.26,1,1,1
J9184,Inj gemcitabin (avyxa) 200mg,"Avyxa Pharma, LLC",83831-0123-01,Avgesmi,200 MG,26.3,1,5,5
J9184,Inj gemcitabin (avyxa) 200mg,"Avyxa Pharma, LLC",83831-0124-01,Avgesmi,200 MG,52.6,1,10,10
J9220,Indigotindisulfonate sod 1mg,Apollo Pharmaceuticals,81284-0315-05,Bludigo,1 MG,5,5,40,200
J9275,"Inj cosibelimab-ipdl, 2 mg",Checkpoint Therapeutics Inc,83444-0301-10,Unloxcyt,2 MG,5,1,150,150
J9282,Mitomycin intravesical inst,UroGen Pharma,72493-0106-03,Zusduri,1 MG,1,2,40,80
J9302,Ofatumumab injection,Novartis Pharmaceuticals Corporation,00078-0669-13,Arzerra,10 MG,5,3,10,30
J9302,Ofatumumab injection,Novartis Pharmaceuticals Corporation,00078-0690-61,Arzerra,10 MG,50,1,100,100
J9313,"Inj., lumoxiti, 0.01 mg",AstraZeneca Pharmaceuticals LP,00310-4700-01,Lumoxiti,0.01 MG,1,1,100,100
J9313,"Inj., lumoxiti, 0.01 mg",AstraZeneca Pharmaceuticals LP,73380-4700-01,Lumoxiti,0.01 MG,1,1,100,100
J9376,"Inj pozelimab-bbfg, 1 mg","Regeneron Pharmaceuticals, Inc.",61755-0014-01,Veopoz,1 MG,2,1,400,400
J9600,Porfimer sodium injection,"Pinnacle Biologics, Inc.",76128-0155-75,Photofrin,75 MG,1,1,1,1
Q2009,Fosphenytoin inj PE,Pfizer Inc,00069-5471-02,Cerebyx,50 MG PE/ML,2,25,2,50
Q2009,Fosphenytoin inj PE,Pfizer Inc,00069-5474-02,Cerebyx,50 MG PE/ML,10,10,10,100
Q2009,Fosphenytoin inj PE,Pfizer Inc,00069-6001-21,Cerebyx,50 MG PE/ML,10,10,10,100
Q2009,Fosphenytoin inj PE,Pfizer Inc,00069-6001-25,Cerebyx,50 MG PE/ML,2,25,2,50
Q2009,Fosphenytoin inj PE,Hikma Pharmaceuticals USA Inc.,00641-6136-25,Fosphenytoin Sodium,50 MG PE/ML,2,25,2,50
Q2009,Fosphenytoin inj PE,Sagent Pharmaceuticals,25021-0798-02,Fosphenytoin Sodium,50 MG PE/ML,2,25,2,50
Q2009,Fosphenytoin inj PE,Sagent Pharmaceuticals,25021-0798-10,Fosphenytoin Sodium,50 MG PE/ML,10,10,10,100
Q2009,Fosphenytoin inj PE,"FreseniUS Kabi USA, LLC",63323-0403-02,Fosphenytoin Sodium,50 MG PE/ML,2,25,2,50
Q2009,Fosphenytoin inj PE,"FreseniUS Kabi USA, LLC",63323-0403-10,Fosphenytoin Sodium,50 MG PE/ML,10,10,10,100
Q2009,Fosphenytoin inj PE,"Glenmark Pharmaceuticals Inc., USA",68462-0621-54,Fosphenytoin Sodium,50 MG PE/ML,2,25,2,50
Q2009,Fosphenytoin inj PE,"Glenmark Pharmaceuticals Inc., USA",68462-0622-64,Fosphenytoin Sodium,50 MG PE/ML,10,10,10,100
Q2058,Obecbtge autol up to 400 mil,"Autolus, Inc",83047-0410-04,Aucatzyl,Per Therapeutic Dose,1,1,1,2
Q5134,"Inj, tyruko, 1 mg",Sandoz Inc.,61314-0543-94,Tyruko,1 MG,15,1,300,300
Q5157,"Inj, denosumab-bmwo, 1 mg","Celltrion USA, Inc.",72606-0037-01,Stoboclo,1 MG,1,1,60,60
Q5157,"Inj, denosumab-bmwo, 1 mg","Celltrion USA, Inc.",72606-0038-01,Osenvelt ,1 MG,1.7,1,120,120
Q5158,"Inj, denosumab-bnht, 1 mg","Fresenius Kabi USA, LLC",65219-0668-01,Conexxence,1 MG,1,1,60,60
Q5158,"Inj, denosumab-bnht, 1 mg","Fresenius Kabi USA, LLC",65219-0670-01,Bomyntra,1 MG,1.7,1,120,120
Q5158,"Inj, denosumab-bnht, 1 mg","Fresenius Kabi USA, LLC",65219-0672-01,Bomyntra,1 MG,1.7,1,120,120
Q5160,"Inj, jobevne, 10 mg",Biocon Biologics Inc.,83257-0009-11,Jobevne ,10 MG,4,1,10,10
Q5160,"Inj, jobevne, 10 mg",Biocon Biologics Inc.,83257-0010-11,Jobevne ,10 MG,16,1,40,40
Q9968,Visualization adjunct,"American Regent, Inc.",00517-0374-05,Provayblue,1 MG,10,5,50,250
Q9968,Visualization adjunct,Mylan Institutional LLC,67457-0220-05,Isosulfan Blue ,1 MG,5,6,50,300
Q9982,Flutemetamol F18,GE Healthcare Inc.,17156-0067-30,Vizamyl,"Per Study Dose, up to 5 millicuries",1,1,1,1
